code,code_numeric,country,fhpolrigaug,lrgdpch,polity4,year,year_numeric,sample
DNK,52,Denmark,1,9.304565,1,1960,9,1
DNK,52,Denmark,1,9.814511,1,1980,10,1
DNK,52,Denmark,1,10.18898,1,2000,11,1
DOM,53,Dominican Republic,,,0.05,1940,8,0
DOM,53,Dominican Republic,0.21,7.435221,0.05,1960,9,1
DOM,53,Dominican Republic,0.8333333,7.978275,0.8,1980,10,1
DOM,53,Dominican Republic,0.8333333,8.569816,0.9,2000,11,1
DZA,54,Algeria,,,,1940,8,0
DZA,54,Algeria,,7.8876,,1960,9,0
DZA,54,Algeria,0.1666667,8.469116,0.05,1980,10,0
DZA,54,Algeria,0.1666667,8.496084,0.35,2000,11,1
ECU,55,Ecuador,,,0.45,1940,8,0
ECU,55,Ecuador,0.84,7.602719,0.6,1960,9,1
ECU,55,Ecuador,0.8333333,8.352687,0.95,1980,10,1
ECU,55,Ecuador,0.6666667,8.151236,0.8,2000,11,1
EGY,56,"Egypt, Arab Rep.",,,0.55,1940,8,0
EGY,56,"Egypt, Arab Rep.",0.37,7.298231,0.15,1960,9,1
EGY,56,"Egypt, Arab Rep.",0.3333333,7.793143,0.2,1980,10,1
EGY,56,"Egypt, Arab Rep.",0.1666667,8.339016,0.2,2000,11,1
ERI,57,Eritrea,,,,1940,8,0
ERI,57,Eritrea,,,,1960,9,0
ERI,57,Eritrea,,,,1980,10,0
ERI,57,Eritrea,0,,0.2,2000,11,0
ESP,58,Spain,,,0.15,1940,8,0
ESP,58,Spain,0.11,8.441745,0.15,1960,9,1
ESP,58,Spain,0.8333333,9.350207,0.95,1980,10,1
ESP,58,Spain,1,9.800728,1,2000,11,1
EST,59,Estonia,,,0.2,1940,8,0
EST,59,Estonia,,,,1960,9,1
EST,59,Estonia,,,,1980,10,1
EST,59,Estonia,1,9.168336,0.8,2000,11,1
ETH,60,Ethiopia 1993-,,,,1940,8,0
ETH,60,Ethiopia 1993-,,,,1960,9,0
ETH,60,Ethiopia 1993-,,,,1980,10,0
ETH,60,Ethiopia 1993-,0.3333333,6.452979,0.55,2000,11,0
ETH_1,61,Ethiopia -pre 1993,,,,1940,8,0
ETH_1,61,Ethiopia -pre 1993,0.31,6.266719,0.05,1960,9,1
ETH_1,61,Ethiopia -pre 1993,0,6.463727,0.15,1980,10,1
ETH_1,61,Ethiopia -pre 1993,,,,2000,11,1
ETM,62,East Timor,,,,1940,8,0
ETM,62,East Timor,,,,1960,9,0
ETM,62,East Timor,,,,1980,10,0
ETM,62,East Timor,,,,2000,11,0
FIN,63,Finland,,,0.7,1940,8,0
FIN,63,Finland,0.97,8.921469,1,1960,9,1
FIN,63,Finland,0.8333333,9.651776,1,1980,10,1
FIN,63,Finland,1,10.07711,1,2000,11,1
FJI,64,Fiji,,,,1940,8,0
FJI,64,Fiji,,7.91746,,1960,9,0
FJI,64,Fiji,0.8333333,8.43384,0.95,1980,10,0
FJI,64,Fiji,0.1666667,,,2000,11,1
FRA,65,France,,,0.05,1940,8,0
FRA,65,France,0.9,8.965018,0.75,1960,9,1
FRA,65,France,1,9.693839,0.9,1980,10,1
FRA,65,France,1,10.01493,0.95,2000,11,1
GAB,66,Gabon,,,,1940,8,0
GAB,66,Gabon,0.63,8.015266,0.15,1960,9,0
GAB,66,Gabon,0.1666667,9.111508,0.05,1980,10,1
GAB,66,Gabon,0.3333333,9.036213,0.3,2000,11,1
GBR,67,United Kingdom,,,1,1940,8,0
GBR,67,United Kingdom,0.99,9.177211,1,1960,9,1
GBR,67,United Kingdom,1,9.569088,1,1980,10,1
GBR,67,United Kingdom,1,10.00738,1,2000,11,1
GCL,68,Gran Colombia,,,,1940,8,0
GCL,68,Gran Colombia,,,,1960,9,0
GCL,68,Gran Colombia,,,,1980,10,0
GCL,68,Gran Colombia,,,,2000,11,0
GEO,69,Georgia,,,,1940,8,0
GEO,69,Georgia,,,,1960,9,0
GEO,69,Georgia,,,,1980,10,0
GEO,69,Georgia,0.5,8.498297,0.75,2000,11,0
GHA,70,Ghana,,,,1940,8,0
GHA,70,Ghana,0.57,6.764173,0.1,1960,9,0
GHA,70,Ghana,0.8333333,7.09344,0.8,1980,10,1
GHA,70,Ghana,0.8333333,7.208454,0.6,2000,11,1
GIN,71,Guinea,,,,1940,8,0
GIN,71,Guinea,,7.921682,0.05,1960,9,0
GIN,71,Guinea,0,7.86262,0.05,1980,10,1
GIN,71,Guinea,0.1666667,7.948218,0.45,2000,11,1
GMB,72,"Gambia, The",,,,1940,8,0
GMB,72,"Gambia, The",,6.805074,,1960,9,0
GMB,72,"Gambia, The",0.8333333,7.144153,0.9,1980,10,0
GMB,72,"Gambia, The",0,7.104079,0.25,2000,11,1
GNB,73,Guinea-Bissau,,,,1940,8,0
GNB,73,Guinea-Bissau,,6.056391,,1960,9,0
GNB,73,Guinea-Bissau,0.1666667,6.103621,0.15,1980,10,0
GNB,73,Guinea-Bissau,0.5,6.533538,0.75,2000,11,1
GNQ,74,Equatorial Guinea,,,,1940,8,0
GNQ,74,Equatorial Guinea,,8.091364,,1960,9,0
GNQ,74,Equatorial Guinea,0,7.689084,0.15,1980,10,0
GNQ,74,Equatorial Guinea,0,8.189795,0.25,2000,11,1
GRC,75,Greece,,,0.1,1940,8,0
GRC,75,Greece,0.88,8.334816,0.7,1960,9,1
GRC,75,Greece,0.8333333,9.380486,0.9,1980,10,1
GRC,75,Greece,1,9.589738,1,2000,11,1
GRD,76,Grenada,,,,1940,8,0
GRD,76,Grenada,,,,1960,9,0
GRD,76,Grenada,0.3333333,8.012017,,1980,10,0
GRD,76,Grenada,1,8.728799,,2000,11,1
GTM,77,Guatemala,,,0.05,1940,8,0
GTM,77,Guatemala,0.7,7.759642,0.25,1960,9,1
GTM,77,Guatemala,0.3333333,8.308284,0.25,1980,10,1
GTM,77,Guatemala,0.6666667,8.272367,0.9,2000,11,1
GUY,78,Guyana,,,,1940,8,0
GUY,78,Guyana,,7.548697,,1960,9,0
GUY,78,Guyana,0.5,7.945521,0.15,1980,10,0
GUY,78,Guyana,0.8333333,,0.8,2000,11,1
HND,79,Honduras,,,0.35,1940,8,0
HND,79,Honduras,0.7,7.438536,0.45,1960,9,1
HND,79,Honduras,0.5,7.731841,,1980,10,1
HND,79,Honduras,0.6666667,7.625558,0.85,2000,11,1
HRV,80,Croatia,,,,1940,8,0
HRV,80,Croatia,,,,1960,9,0
HRV,80,Croatia,,,,1980,10,0
HRV,80,Croatia,0.8333333,9.050838,0.85,2000,11,0
HTI,81,Haiti,,,0.5,1940,8,0
HTI,81,Haiti,0.35,,0.1,1960,9,1
HTI,81,Haiti,0.1666667,7.013275,0.05,1980,10,1
HTI,81,Haiti,0.1666667,,0.4,2000,11,1
HUN,82,Hungary,,,0.45,1940,8,0
HUN,82,Hungary,0.28,,0.15,1960,9,1
HUN,82,Hungary,0.1666667,9.011422,0.15,1980,10,1
HUN,82,Hungary,1,9.253325,1,2000,11,1
IDN,83,Indonesia,,,,1940,8,0
IDN,83,Indonesia,0.2,6.841697,0.25,1960,9,0
IDN,83,Indonesia,0.3333333,7.54732,0.15,1980,10,1
IDN,83,Indonesia,0.6666667,8.200371,0.85,2000,11,1
IND,84,India,,,,1940,8,0
IND,84,India,0.94,6.74189,0.95,1960,9,0
IND,84,India,0.8333333,7.055082,0.9,1980,10,1
IND,84,India,0.8333333,7.815578,0.95,2000,11,1
IRL,85,Ireland,,,0.9,1940,8,0
IRL,85,Ireland,0.95,8.544048,1,1960,9,1
IRL,85,Ireland,1,9.206577,1,1980,10,1
IRL,85,Ireland,1,10.18039,1,2000,11,1
IRN,86,Iran,,,0.1,1940,8,0
IRN,86,Iran,0.35,7.8892,0,1960,9,1
IRN,86,Iran,0.3333333,8.301185,,1980,10,1
IRN,86,Iran,0.1666667,8.698613,0.65,2000,11,1
IRQ,87,Iraq,,,0.35,1940,8,0
IRQ,87,Iraq,0.15,,0.25,1960,9,1
IRQ,87,Iraq,0.1666667,,0.05,1980,10,1
IRQ,87,Iraq,0,,0.05,2000,11,1
ISL,88,Iceland,,,1,1940,8,0
ISL,88,Iceland,1,9.014312,1,1960,9,1
ISL,88,Iceland,1,9.808449,1,1980,10,1
ISL,88,Iceland,1,10.11767,1,2000,11,1
ISR,89,Israel,,,,1940,8,0
ISR,89,Israel,0.95,8.620045,1,1960,9,0
ISR,89,Israel,0.8333333,9.34363,0.95,1980,10,1
ISR,89,Israel,1,9.738237,1,2000,11,1
ITA,90,Italy,,,0.05,1940,8,0
ITA,90,Italy,0.97,8.837732,1,1960,9,1
ITA,90,Italy,1,9.631416,1,1980,10,1
ITA,90,Italy,1,9.988757,1,2000,11,1
JAM,91,Jamaica,,,,1940,8,0
JAM,91,Jamaica,0.91,7.917863,1,1960,9,0
JAM,91,Jamaica,0.8333333,8.146678,1,1980,10,0
JAM,91,Jamaica,0.8333333,8.214085,0.95,2000,11,1
JOR,92,Jordan,,,,1940,8,0
JOR,92,Jordan,0.32,7.734221,0.05,1960,9,0
JOR,92,Jordan,0.1666667,8.306857,0,1980,10,1
JOR,92,Jordan,0.5,8.267375,0.4,2000,11,1
JPN,93,Japan,,,0.55,1940,8,0
JPN,93,Japan,0.99,8.42168,1,1960,9,1
JPN,93,Japan,1,9.656223,1,1980,10,1
JPN,93,Japan,1,10.11356,1,2000,11,1
KAZ,94,Kazakhstan,,,,1940,8,0
KAZ,94,Kazakhstan,,,,1960,9,0
KAZ,94,Kazakhstan,,,,1980,10,0
KAZ,94,Kazakhstan,0.1666667,8.908018,0.3,2000,11,0
KEN,95,Kenya,,,,1940,8,0
KEN,95,Kenya,0.71,6.679399,,1960,9,0
KEN,95,Kenya,0.3333333,7.12166,0.2,1980,10,0
KEN,95,Kenya,0.1666667,7.126381,0.4,2000,11,1
KGZ,96,Kyrgyz Republic,,,,1940,8,0
KGZ,96,Kyrgyz Republic,,,,1960,9,0
KGZ,96,Kyrgyz Republic,,,,1980,10,0
KGZ,96,Kyrgyz Republic,0.1666667,8.011205,0.35,2000,11,0
KHM,97,Cambodia,,,,1940,8,0
KHM,97,Cambodia,0.39,,0.05,1960,9,0
KHM,97,Cambodia,0,,,1980,10,1
KHM,97,Cambodia,0.1666667,,0.6,2000,11,1
KIR,98,Kiribati,,,,1940,8,0
KIR,98,Kiribati,,,,1960,9,0
KIR,98,Kiribati,0.8333333,,,1980,10,0
KIR,98,Kiribati,1,,,2000,11,1
KNA,99,St. Kitts and Nevis,,,,1940,8,0
KNA,99,St. Kitts and Nevis,,,,1960,9,0
KNA,99,St. Kitts and Nevis,,8.546586,,1980,10,0
KNA,99,St. Kitts and Nevis,1,9.522664,,2000,11,0
KOE,100,Korea,,,,1940,8,0
KOE,100,Korea,,,,1960,9,1
KOE,100,Korea,,,,1980,10,1
KOE,100,Korea,,,,2000,11,1
KOR,101,"Korea, Rep.",,,,1940,8,0
KOR,101,"Korea, Rep.",0.52,7.310043,0.9,1960,9,0
KOR,101,"Korea, Rep.",0.3333333,8.47425,0.1,1980,10,1
KOR,101,"Korea, Rep.",0.8333333,9.672554,0.9,2000,11,1
KWT,102,Kuwait,,,,1940,8,0
KWT,102,Kuwait,,,,1960,9,0
KWT,102,Kuwait,0.1666667,,0,1980,10,0
KWT,102,Kuwait,0.5,,0.15,2000,11,1
LAO,103,Lao PDR,,,,1940,8,0
LAO,103,Lao PDR,0.57,,0.45,1960,9,0
LAO,103,Lao PDR,0,,0.15,1980,10,1
LAO,103,Lao PDR,0,,0.15,2000,11,1
LBN,104,Lebanon,,,,1940,8,0
LBN,104,Lebanon,0.84,,0.6,1960,9,0
LBN,104,Lebanon,0.5,,,1980,10,1
LBN,104,Lebanon,0.1666667,8.663174,,2000,11,1
LBR,105,Liberia,,,0.2,1940,8,0
LBR,105,Liberia,0.47,,0.2,1960,9,1
LBR,105,Liberia,0.1666667,,0.15,1980,10,1
LBR,105,Liberia,0.3333333,,0.5,2000,11,1
LBY,106,Libya,,,,1940,8,0
LBY,106,Libya,0.31,,0.15,1960,9,0
LBY,106,Libya,0.1666667,,0.15,1980,10,1
LBY,106,Libya,0,,0.15,2000,11,1
LCA,107,St. Lucia,,,,1940,8,0
LCA,107,St. Lucia,,,,1960,9,0
LCA,107,St. Lucia,0.8333333,8.082571,,1980,10,0
LCA,107,St. Lucia,1,8.753119,,2000,11,1
LIE,108,Liechtenstein,,,,1940,8,0
LIE,108,Liechtenstein,,,,1960,9,1
LIE,108,Liechtenstein,,,,1980,10,1
LIE,108,Liechtenstein,1,,,2000,11,1
LKA,109,Sri Lanka,,,,1940,8,0
LKA,109,Sri Lanka,0.94,7.195235,0.85,1960,9,0
LKA,109,Sri Lanka,0.8333333,7.489711,0.8,1980,10,1
LKA,109,Sri Lanka,0.6666667,8.10163,0.75,2000,11,1
LSO,110,Lesotho,,,,1940,8,0
LSO,110,Lesotho,,6.548558,,1960,9,0
LSO,110,Lesotho,0.3333333,7.213881,0.15,1980,10,0
LSO,110,Lesotho,0.5,7.37254,,2000,11,1
LTU,111,Lithuania,,,0.05,1940,8,0
LTU,111,Lithuania,,,,1960,9,1
LTU,111,Lithuania,,,,1980,10,1
LTU,111,Lithuania,1,8.889239,1,2000,11,1
LUX,112,Luxembourg,,,,1940,8,0
LUX,112,Luxembourg,1,9.367659,,1960,9,1
LUX,112,Luxembourg,1,9.790245,,1980,10,1
LUX,112,Luxembourg,1,10.6917,,2000,11,1
LVA,113,Latvia,,,0.05,1940,8,0
LVA,113,Latvia,,,,1960,9,1
LVA,113,Latvia,,,,1980,10,1
LVA,113,Latvia,1,8.942823,0.9,2000,11,1
MAR,114,Morocco,,,,1940,8,0
MAR,114,Morocco,0.41,7.176346,0.25,1960,9,0
MAR,114,Morocco,0.5,8.00448,0.1,1980,10,1
MAR,114,Morocco,0.3333333,8.220592,0.2,2000,11,1
MDA,115,Moldova,,,,1940,8,0
MDA,115,Moldova,,,,1960,9,0
MDA,115,Moldova,,,,1980,10,0
MDA,115,Moldova,0.8333333,7.642906,0.85,2000,11,0
MDG,116,Madagascar,,,,1940,8,0
MDG,116,Madagascar,0.92,7.122519,0.45,1960,9,0
MDG,116,Madagascar,0.1666667,6.990982,0.2,1980,10,1
MDG,116,Madagascar,0.8333333,6.728495,0.85,2000,11,1
MDV,117,Maldives,,,,1940,8,0
MDV,117,Maldives,,,,1960,9,0
MDV,117,Maldives,0.3333333,,,1980,10,0
MDV,117,Maldives,0.1666667,,,2000,11,1
MEX,118,Mexico,,,0.2,1940,8,0
MEX,118,Mexico,0.8,8.289124,0.2,1960,9,1
MEX,118,Mexico,0.6666667,8.943083,0.35,1980,10,1
MEX,118,Mexico,0.8333333,9.078218,0.9,2000,11,1
MKD,119,"Macedonia, FYR",,,,1940,8,0
MKD,119,"Macedonia, FYR",,,,1960,9,0
MKD,119,"Macedonia, FYR",,,,1980,10,0
MKD,119,"Macedonia, FYR",0.5,8.545053,0.8,2000,11,0
MLI,120,Mali,,,,1940,8,0
MLI,120,Mali,0.53,6.890221,0.15,1960,9,0
MLI,120,Mali,0,6.850566,0.15,1980,10,1
MLI,120,Mali,0.8333333,6.876678,0.8,2000,11,1
MLT,121,Malta,,,,1940,8,0
MLT,121,Malta,,,,1960,9,0
MLT,121,Malta,0.8333333,,,1980,10,0
MLT,121,Malta,1,,,2000,11,1
MMR,122,Myanmar,,,,1940,8,0
MMR,122,Myanmar,0.63,,0.9,1960,9,0
MMR,122,Myanmar,0,,0.1,1980,10,1
MMR,122,Myanmar,0,,0.15,2000,11,1
MNG,123,Mongolia,,,0.05,1940,8,0
MNG,123,Mongolia,0.22,,0.15,1960,9,1
MNG,123,Mongolia,0,,0.15,1980,10,1
MNG,123,Mongolia,0.8333333,,1,2000,11,1
MOD,124,Modena,,,,1940,8,0
MOD,124,Modena,,,,1960,9,0
MOD,124,Modena,,,,1980,10,0
MOD,124,Modena,,,,2000,11,0
MOZ,125,Mozambique,,,,1940,8,0
MOZ,125,Mozambique,,7.364519,,1960,9,0
MOZ,125,Mozambique,0,7.029049,0.1,1980,10,0
MOZ,125,Mozambique,0.6666667,6.944121,0.8,2000,11,1
MRT,126,Mauritania,,,,1940,8,0
MRT,126,Mauritania,0.67,6.951782,0.3,1960,9,0
MRT,126,Mauritania,0,7.545162,0.15,1980,10,1
MRT,126,Mauritania,0.1666667,,0.2,2000,11,1
MUS,127,Mauritius,,,,1940,8,0
MUS,127,Mauritius,,8.057663,,1960,9,0
MUS,127,Mauritius,0.8333333,8.658683,0.95,1980,10,0
MUS,127,Mauritius,1,9.541922,1,2000,11,1
MWI,128,Malawi,,,,1940,8,0
MWI,128,Malawi,,6.03681,,1960,9,0
MWI,128,Malawi,0.1666667,6.482756,0.05,1980,10,0
MWI,128,Malawi,0.6666667,6.664136,0.85,2000,11,1
MYS,129,Malaysia,,,,1940,8,0
MYS,129,Malaysia,0.84,7.658714,1,1960,9,0
