code,country,consfirstaug,indcent,indyear,logem4,lpd1500s,madid,rel_catho80,rel_muslim80,rel_protmg80,growth,democ,world,colony
ISR,Israel,1,19.48,1948,,2.120343,3002,0.01,0.08,0.002,3.348109,1,1,0
ITA,Italy,0.3333333,18.61,1861,,3.526556,1072,0.832,0.001,0.004,2.835336,0.95,1,0
JAM,Jamaica,1,19.62,1962,4.867535,1.530395,5001,0.096,0.001,0.555,1.834831,0.95,1,1
JOR,Jordan,0.3,19.46,1946,,3.729781,3002,0.017,0.93,0.003,1.966512,0.4,1,0
JPN,Japan,0,18,1800,,5.642579,1074,0.006,0,0.009,3.740952,1,1,0
KEN,Kenya,0.4833333,19.63,1963,4.976734,0.969094,2011,0.264,0.06,0.193,0.9013543,0.4,1,1
KHM,Cambodia,0,19.53,1953,,2.139786,3002,0.001,0.024,0.001,0.649312,0.6,1,1
KIR,Kiribati,,19.79,1979,,,3002,,,,1.543368,,1,0
KNA,St. Kitts and Nevis,,19.83,1983,,0.3784365,5001,,,,2.297351,,1,1
KOE,Korea,1,18,1800,,,,,,,,,1,0
KOR,"Korea, Rep.",0.2619048,19.45,1945,4.770685,3.701661,3002,0.039,0,0.122,3.228899,0.9,1,0
KWT,Kuwait,0.2083333,19.61,1961,,0,3002,0.021,0.951,0.001,2.889042,0.15,1,0
LAO,Lao PDR,0.6666667,19.49,1949,4.941642,0.549913,3002,0.008,0.01,0.002,0.725378,0.15,1,1
LBN,Lebanon,0.3333333,19.43,1943,,2.70805,3002,,,,1.792092,,1,0
LBR,Liberia,1,18.47,1847,6.180017,1.442202,2011,0.019,0.212,0.186,0.7157588,0.5,1,0
LBY,Libya,0.3333333,19.51,1951,,2.653823,5001,0.002,0.981,0.001,1.411033,0.15,1,1
LCA,St. Lucia,,19.79,1979,,0.3784365,5001,,,,2.297351,,1,1
LIE,Liechtenstein,,18.06,1806,,,1001,,,,3.455848,,1,0
LKA,Sri Lanka,1,19.48,1948,4.245634,2.739077,3002,0.068,0.072,0.004,1.858982,0.75,1,1
LSO,Lesotho,0.45,19.66,1966,,-0.7105375,2011,0.435,0,0.298,1.379378,0.9,1,1
LTU,Lithuania,1,19.18,1918,,-0.3424903,4001,0.8,0,,2.558121,1,1,0
LUX,Luxembourg,,18.39,1839,,2.923162,1001,0.93,0,0.012,3.455848,,1,0
LVA,Latvia,1,19.2,1920,,-0.3424903,4001,0.182,0.0001,0.141,2.608489,0.9,1,0
MAR,Morocco,0.1833333,19.56,1956,4.35927,2.206481,1098,0.002,0.994,0,1.8937,0.2,1,1
MDG,Madagascar,0.3333333,19.6,1960,6.284209,0.1854006,2011,0.26,0.017,0.22,0.5336061,0.85,1,1
MDV,Maldives,,19.65,1965,,,3002,,,,1.543368,,1,1
MEX,Mexico,0.3333333,18.1,1810,4.26268,0.9630207,1095,0.947,0,0.012,2.832151,0.9,1,1
MLI,Mali,0.2666667,19.6,1960,7.986165,0,2011,0.007,0.8,0.002,0.7099972,0.8,1,1
MLT,Malta,,19.64,1964,2.791165,4.135167,1001,0.973,0,0.005,3.455848,,1,1
MMR,Myanmar,1,19.48,1948,3.543854,1.805529,3002,0.009,0.036,0.032,0.8677979,0.15,1,1
MNG,Mongolia,0.3333333,19.21,1921,,-0.9623347,3002,0,0.014,0,0.6468925,1,1,0
MOZ,Mozambique,0.1666667,19.75,1975,,0.2432315,2011,0.314,0.13,0.068,1.241046,0.8,1,1
MRT,Mauritania,0.4,19.6,1960,5.634789,1.098612,2011,0.003,0.994,0,0.8986678,0.2,1,1
MUS,Mauritius,1,19.68,1968,3.417727,,2011,0.312,0.164,0.009,3.247667,1,1,1
MWI,Malawi,0,19.64,1964,,-0.2357223,2011,0.276,0.162,0.315,0.4954095,0.85,1,1
MYS,Malaysia,1,19.57,1957,2.873565,0.1967755,3002,0.028,0.494,0.014,2.628924,0.65,1,1
NER,Niger,0.3333333,19.6,1960,5.991465,0,2011,0.002,0.879,0,0.1942644,0.7,1,1
NGA,Nigeria,0.6,19.6,1960,7.602901,1.442202,2011,0.121,0.45,0.158,1.0266,0.7,1,1
NIC,Nicaragua,0,18.21,1821,5.095589,0.4317824,5001,0.947,0,0.044,1.012197,0.9,1,1
NLD,Netherlands,0,18,1800,,3.27839,1102,0.426,0.01,0.424,3.34532,0.95,1,0
NOR,Norway,0.3333333,18,1800,,3.771729,1108,0.003,0.001,0.9779999,3.639411,1,1,0
NPL,Nepal,0,18,1800,,2.638058,3002,0,0.03,0,0.5647783,0.8,1,0
NZL,New Zealand,1,19.07,1907,2.145931,-0.9942523,1103,0.187,0,0.379,3.68953,1,1,1
OMN,Oman,0,18,1800,,0,3002,0.001,0.989,0.001,2.496103,0.05,1,0
PAK,Pakistan-post-1972,0.5,19.71,1971,3.610648,3.165475,3002,0.005,0.9680001,0.008,1.218039,0.2,1,1
PAK_1,Pakistan-pre-1972,0.5666667,19.47,1947,3.610648,3.165475,3002,0.005,0.9680001,0.008,1.218039,,1,1
PAN,Panama,0.3333333,19.03,1903,5.095589,0.4317824,5001,0.85,0.045,0.052,2.323307,0.95,1,1
PER,Peru,0.3333333,18.21,1821,4.26268,0.4462871,5001,0.951,0,0.027,1.873102,0.55,1,1
PHL,Philippines,0.5333334,19.46,1946,,0.5169443,3002,0.841,0.043,0.038,1.434978,0.9,1,1
PNG,Papua New Guinea,1,19.75,1975,5.135798,0.4252677,3002,0.328,0,0.584,1.543368,1,1,1
POL,Poland,0.9333333,19.18,1918,,2.575641,2009,0.81,0,0.001,2.677324,0.9,1,0
PRK,"Korea, Dem. Rep.",0.3333333,19.45,1945,,,3002,0,0,0,0.7219348,0.05,1,0
PRT,Portugal,0,18,1800,,2.61456,1117,0.941,0,0.011,3.141536,1,1,0
PRY,Paraguay,0,18.11,1811,4.35799,-0.6863743,5001,0.96,0,0.019,1.671753,0.85,1,1
QAT,Qatar,0,19.71,1971,,0,3002,0.012,0.924,0.009,2.650289,0,1,0
ROM,Romania,0.3333333,18.77,1877,,2.161346,2009,0.049,0.012,0.058,1.800515,0.9,1,0
RUS,Russia,0,18,1800,,-0.3417263,4001,0.014,0.113,0,2.335486,0.85,1,0
RWA,Rwanda,0,19.62,1962,5.634789,3.218876,2011,0.556,0.086,0.116,0.6955752,0.3,1,1
SAU,Saudi Arabia,0,19.32,1932,,0.3894648,3002,0.001,0.988,0.001,2.64533,0,1,0
SDN,Sudan,0.3333333,19.56,1956,4.479607,2.64114,2011,0.044,0.73,0.001,0.8731046,0.15,1,1
SEN,Senegal,0.3333333,19.6,1960,5.103883,1.442202,2011,0.056,0.91,0.001,1.241735,0.9,1,1
SGP,Singapore,0.3333333,19.65,1965,2.873565,-2.437894,3002,0.047,0.174,0.026,3.666049,0.4,1,1
SLB,Solomon Islands,,19.78,1978,,,3002,,,,1.543368,,1,0
SLE,Sierra Leone,0.55,19.61,1961,6.180017,1.442202,2011,0.022,0.394,0.048,-0.0887394,0.15,1,1
SLV,El Salvador,0.3333333,18.21,1821,4.35799,0.4317824,5001,0.962,0,0.024,1.567521,0.85,1,1
SOM,Somalia,0.9,19.6,1960,,0.243123,2011,0,0.998,0,0.7346354,,1,1
STP,Sao Tome and Principe,,19.75,1975,,,5001,0.924,0,0.022,0.7721982,,1,1
SUR,Suriname,,19.75,1975,,,5001,,,,2.297351,,1,0
SWE,Sweden,0,18,1800,,3.883387,1140,0.014,0.001,0.684,3.376157,0.9,1,0
SWZ,Swaziland,0.0833333,19.68,1968,,-0.7105375,2011,0.108,0.001,0.339,1.839638,0.05,1,1
SYC,Seychelles,,19.76,1976,,,2011,,,,2.730899,,1,1
SYR,Syrian Arab Republic,0.5,19.46,1946,,2.70805,3002,0.013,0.896,0.002,2.578044,0.15,1,0
TCD,Chad,0,19.6,1960,5.634789,0,2011,0.21,0.44,0.116,0.0228591,0.4,1,1
TGO,Togo,0.2333333,19.6,1960,6.504288,1.442202,2011,0.293,0.17,0.061,0.3285556,0.4,1,1
THA,Thailand,0,18,1800,4.941642,1.364748,3002,0.004,0.039,0.002,2.41184,0.95,1,0
TON,Tonga,,19.7,1970,,,3002,,,,1.543368,,1,0
TTO,Trinidad and Tobago,1,19.62,1962,4.442651,0.3784365,5001,0.358,0.065,0.132,3.178472,1,1,1
TUN,Tunisia,0,19.56,1956,4.143135,2.459847,2011,0.001,0.994,0,2.394425,0.35,1,1
TUR,Turkey,0,18,1800,,2.102395,3002,0.001,0.992,0,2.452288,0.85,1,0
TWN,Taiwan,0.1666667,19.48,1948,,,3002,,,,3.377548,0.95,1,0
TZA,Tanzania,0.3333333,19.61,1961,5.634789,0.6833779,2011,0.282,0.325,0.112,0.2356138,0.6,1,1
UGA,Uganda,0.5925926,19.62,1962,5.634789,2.016654,2011,0.496,0.066,0.019,0.6438055,0.3,1,1
URY,Uruguay,0,18.25,1825,4.26268,-2.210722,5001,0.595,0,0.019,2.630204,1,1,1
USA,United States,1,18,1800,2.70805,-2.437894,1157,0.3,0.008,0.436,4.2531,1,1,1
USS,USSR,0.3333333,19.13,1913,,-0.3417263,4001,0.014,0.113,0,2.16547,,1,0
VCT,St. Vincent and the Grenadines,,19.79,1979,,0.3784365,5001,,,,2.297351,,1,1
VEN,"Venezuela, RB",0,18.11,1811,4.35799,-0.8209805,5001,0.948,0,0.01,2.698509,0.85,1,1
VNM,Vietnam,0.3333333,19.45,1945,4.941642,1.815571,3002,0.039,0.01,0.002,1.14786,0.15,1,1
VNM_N,"Vietnam, North",0,19.45,1945,4.941642,1.815571,3002,0.039,0.01,0.002,1.14786,,1,1
VNM_S,"Vietnam, South",0.2666667,19.45,1945,4.941642,1.815571,3002,0.039,0.01,0.002,1.14786,,1,1
VUT,Vanuatu,,19.8,1980,,,3002,,,,1.543368,,1,0
YEM_N,"Yemen, N.Arab",0,19.18,1918,,1.545433,3002,0,0.995,0.001,1.51636,,1,0
YEM_S,"Yemen, South",0.3333333,19.67,1967,,1.545433,3002,0,0.995,0.001,1.51636,,1,0
YUG_1,Yugoslavia-pre 1991,0.6666667,19.19,1919,,3.093713,2009,0.04,0.19,0.01,2.150076,,1,0
ZAF,South Africa,1,19.1,1910,2.74084,-0.7105286,2011,0.104,0.013,0.39,2.302416,0.95,1,1
ZAR,"Congo, Dem. Rep.",0,19.6,1960,5.480639,0.4054651,2011,0.484,0.014,0.29,-0.6421137,,1,1
ZMB,Zambia,0.2,19.64,1964,,-0.2357223,2011,0.262,0.003,0.319,0.4759107,0.55,1,1
ZWE,Zimbabwe,1,19.65,1965,,-0.2357223,2011,0.144,0.009,0.214,1.129134,0.25,1,1
